date,sp500,consumer_price_index,long_interest_rate,cluster,pca1,pca2
2010-11-01,1198.89,218.8,2.76,2,-3.00326611078254,-0.07017624409568199
2010-12-01,1241.53,219.18,3.29,2,-3.2603521776618414,0.9369816541762361
2011-01-01,1282.62,220.22,3.39,2,-3.1259672724888152,1.190547764492057
2011-02-01,1321.12,221.31,3.58,2,-3.056168286680112,1.603209330725465
2011-03-01,1304.49,223.47,3.41,2,-2.700165702176094,1.3348350571589578
2011-04-01,1331.51,224.91,3.46,2,-2.507754761634716,1.4926771217171044
2011-05-01,1338.31,225.96,3.17,2,-2.154420330275714,1.0090812746502702
2011-06-01,1287.29,225.72,3.0,2,-2.159164405122828,0.6391047373120649
2011-07-01,1325.19,225.92,3.0,2,-2.060851071820062,0.6887723630491701
2011-08-01,1185.31,226.54,2.3,0,-1.7467805739808235,-0.7111187319901789
2011-09-01,1173.88,226.89,1.98,0,-1.492751084668032,-1.2876138184467927
2011-10-01,1207.22,226.42,2.15,0,-1.6093511286548752,-0.9565221429761985
2011-11-01,1226.42,226.23,2.01,0,-1.4930644003306708,-1.189022232554538
2011-12-01,1243.32,225.67,1.98,0,-1.5067960909221165,-1.2370403889945107
2012-01-01,1300.58,226.66,1.97,0,-1.2667785354170873,-1.1623476908049757
2012-02-01,1352.49,227.66,1.97,0,-1.0432550778883156,-1.0758177208922466
2012-03-01,1389.24,229.39,2.17,0,-0.9058274241250851,-0.6310309731618842
2012-04-01,1386.43,230.09,2.05,0,-0.7380776975622296,-0.830987116374405
2012-05-01,1341.27,229.81,1.8,0,-0.6779370702781159,-1.3380845726361146
2012-06-01,1323.48,229.48,1.62,0,-0.6216648645552818,-1.6891496666490804
2012-07-01,1359.78,229.1,1.53,0,-0.5317981716921075,-1.8170109630379212
2012-08-01,1403.45,230.38,1.68,0,-0.3994898576235901,-1.4649241621481301
2012-09-01,1443.42,231.41,1.72,0,-0.22473744232640125,-1.3201748152662638
2012-10-01,1437.82,231.32,1.75,0,-0.2685493009856194,-1.275431576195468
2012-11-01,1394.51,230.22,1.65,0,-0.4146028164975148,-1.5331374200295635
2012-12-01,1422.29,229.6,1.72,0,-0.4874382409209824,-1.391148163869845
2013-01-01,1480.4,230.28,1.91,0,-0.4296187971169312,-0.9658729105385956
2013-02-01,1512.31,232.17,1.98,0,-0.18719441337148807,-0.7550645377126473
2013-03-01,1550.83,232.77,1.96,0,-0.02412370276961367,-0.7302228725620066
2013-04-01,1570.7,232.53,1.76,0,0.1311218472738122,-1.0704539728112552
2013-05-01,1639.84,232.94,1.93,0,0.1919733628441895,-0.6748359111363221
2013-06-01,1618.77,233.5,2.3,1,-0.05046777955004913,-0.024001238793753966
2013-07-01,1668.68,233.6,2.58,1,-0.14527276237449077,0.5377177668072516
2013-08-01,1670.09,233.88,2.74,1,-0.22498401384555206,0.8324972929482229
2013-09-01,1687.17,234.15,2.81,1,-0.20973196420039114,0.9845829810092704
2013-10-01,1720.03,233.55,2.62,1,-0.0805383381242988,0.6683286155814525
2013-11-01,1783.54,233.07,2.72,1,-0.08851832109625403,0.9095269624066386
2013-12-01,1807.78,233.05,2.9,1,-0.17506369814029885,1.2592583378400986
2014-01-01,1822.36,233.92,2.86,1,-0.0109931671348786,1.227078286939112
2014-02-01,1817.04,234.78,2.71,1,0.19333680563817118,0.9746252134357966
2014-03-01,1863.52,236.29,2.72,1,0.46140832897268763,1.0856398412661838
2014-04-01,1864.26,237.07,2.71,1,0.5656144099820456,1.0885126505691587
2014-05-01,1889.77,237.9,2.56,1,0.8263333503161129,0.8715516885842198
2014-06-01,1947.09,238.34,2.6,1,0.9626721646651154,1.0216699961612976
2014-07-01,1973.1,238.25,2.54,1,1.0461007598705125,0.9427199351361969
2014-08-01,1961.53,237.85,2.42,1,1.0621492362845528,0.7044306556994895
2014-09-01,1993.23,238.03,2.53,1,1.0656850535352334,0.942912776129034
2014-10-01,1937.27,237.43,2.3,1,1.0510280222205093,0.45070806369940764
2014-11-01,2044.57,236.15,2.33,1,1.081508768679981,0.5978989126964864
2014-12-01,2054.27,234.81,2.21,1,1.0239417038826062,0.3606695527379735
2015-01-01,2028.18,233.71,1.88,1,1.0792329286913402,-0.2878903291887237
2015-02-01,2082.2,234.72,1.98,1,1.2351352741281045,-0.019882809019131767
2015-03-01,2079.99,236.12,2.04,1,1.3584109704783003,0.12043909806376274
2015-04-01,2094.86,236.6,1.94,1,1.51908538415197,-0.028583047841211927
2015-05-01,2111.94,237.81,2.2,1,1.5107740097114346,0.48706511735874425
2015-06-01,2099.29,238.64,2.36,1,1.4709898658085303,0.7793254608467054
2015-07-01,2094.14,238.65,2.32,1,1.4913632071909548,0.7020272732671226
2015-08-01,2039.87,238.32,2.17,1,1.454680941894723,0.36168348206905976
2015-09-01,1944.41,237.94,2.17,1,1.2222019597300147,0.23973739797107368
2015-10-01,2024.81,237.84,2.07,1,1.4395476369393283,0.15299953407868358
2015-11-01,2080.62,237.34,2.26,1,1.3484590682325193,0.5455000852478196
2015-12-01,2054.08,236.53,2.24,1,1.2122060399568948,0.4578991554867869
2016-01-01,1918.6,236.92,2.09,1,1.105441276435943,0.040398748936637106
2016-02-01,1904.42,237.11,1.78,1,1.3272344809933292,-0.5255335209440903
2016-03-01,2021.95,238.13,1.89,1,1.6007909613974476,-0.16470820856947604
2016-04-01,2075.54,239.26,1.81,1,1.9018632624103573,-0.21588280906032276
